name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,futureType,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
ICX-PERP,True,False,5e-05,1.0,1.0,0.23665,0.2366,0.2368,0.23665,future,perpetual,,False,,ICX,False,False,350.0,-0.006298551333193366,0.020482966796032773,-0.024726973006387803,1249731.4314,1249731.4314,0.246,0.23145,
IMX-PERP,True,False,0.00025,1.0,1.0,0.7345,0.73375,0.73425,0.73425,future,perpetual,,False,,IMX,False,False,350.0,-0.02909090909090909,0.0037593984962406013,-0.01838235294117647,4465059.43325,4465059.43325,0.758,0.72725,
IMX/USD,True,False,0.0005,0.1,0.1,0.735,0.734,0.7355,0.735,spot,,IMX,False,USD,,False,True,280.0,-0.022606382978723406,0.002728512960436562,-0.017379679144385027,396161.5973,396161.5973,0.7575,0.725,
INDI/USD,True,False,0.0001,1.0,1.0,0.1295,0.1292,0.1299,0.1295,spot,,INDI,False,USD,,False,True,280.0,0.0015467904098994587,0.008566978193146417,0.0007727975270479134,2287.7599,2287.7599,0.13,0.1284,
INTER/USD,True,False,0.001,0.1,0.1,2.871,2.839,2.904,2.871,spot,,INTER,False,USD,,False,True,280.0,-0.00034818941504178273,0.020981507823613087,0.0010460251046025104,1021.1383,1021.1383,2.909,2.77,
IOST-PERP,True,False,5e-06,10.0,10.0,0.01165,0.01165,0.01167,0.01165,future,perpetual,,False,,IOST,False,False,350.0,-0.007243289305496378,0.00042936882782310007,-0.013547840812870448,239629.211,239629.211,0.01189,0.0116,
IOTA-PERP,True,False,0.0001,1.0,1.0,0.2917,0.2915,0.2916,0.2916,future,perpetual,,False,,IOTA,False,False,350.0,-0.0023947998631542937,-0.033476963871395427,-0.014864864864864866,3673702.3363,3673702.3363,0.3055,0.2883,
IP3/USD,True,False,2.5e-05,10.0,10.0,0.514975,0.514975,0.518275,0.514975,spot,,IP3,False,USD,,False,True,280.0,-0.014401913875598086,0.007630973927505748,0.004486272979958063,118802.53,118802.53,0.686125,0.46,
JASMY-PERP,True,False,2.5e-06,100.0,100.0,0.00651,0.00651,0.0065125,0.00651,future,perpetual,,False,,JASMY,False,False,350.0,-0.010638297872340425,-0.0007674597083653108,-0.02252252252252252,1122364.699,1122364.699,0.0067075,0.006485,
JET/USD,True,False,5e-05,1.0,1.0,0.0864,0.0857,0.08635,0.08635,spot,,JET,False,USD,,False,True,280.0,0.0,0.0,0.0,287.6256,287.6256,0.0864,0.08635,
JOE/USD,True,False,0.00025,1.0,1.0,0.21825,0.21775,0.2185,0.21825,spot,,JOE,False,USD,,False,True,280.0,-0.0056947608200455585,-0.0056947608200455585,-0.014672686230248307,20709.378,20709.378,0.22425,0.21775,
JST/USD,True,False,5e-06,10.0,10.0,0.024695,0.024495,0.024635,0.024635,spot,,JST,False,USD,,False,True,280.0,-0.008851337759002213,0.009631147540983606,-0.0020255215718047396,2457.971,2457.971,0.024895,0.024355,
KAVA-PERP,True,False,0.0005,0.1,0.1,1.526,1.525,1.526,1.526,future,perpetual,,False,,KAVA,False,False,350.0,-0.008124796880077998,0.006264424662050775,-0.035703001579778834,3529329.59685,3529329.59685,1.6025,1.506,
KBTT-PERP,True,False,2.5e-07,1000.0,1000.0,0.000777,0.0007775,0.0007785,0.0007775,future,perpetual,,False,,KBTT,False,False,350.0,-0.006389776357827476,0.006798316607316284,-0.00670712232513574,100436.72125,100436.72125,0.00078825,0.00077075,
KBTT/USD,True,False,2.5e-07,1000.0,1000.0,0.00077925,0.0007745,0.00077875,0.00077875,spot,,KBTT,False,USD,,False,True,280.0,-0.007013069811922219,0.006787330316742082,-0.007013069811922219,4146.6965,4146.6965,0.00078875,0.000768,
KIN/USD,True,False,1e-08,10000.0,10000.0,1.15e-05,1.151e-05,1.154e-05,1.151e-05,spot,,KIN,False,USD,,False,True,280.0,-0.0008680555555555555,-0.005185825410544511,-0.0017346053772766695,8940.9804,8940.9804,1.17e-05,1.146e-05,
KLUNC-PERP,True,False,5e-05,1.0,1.0,0.2725,0.27215,0.2723,0.2723,future,perpetual,,False,,KLUNC,False,False,350.0,-0.011435832274459974,-0.028887303851640515,0.000735023888276369,21745909.98185,21745909.98185,0.2868,0.2685,
KNC-PERP,True,False,0.0001,0.1,0.1,1.1265,1.1257,1.1265,1.1265,future,perpetual,,False,,KNC,False,False,600.0,-0.013399894902785077,0.0037423148890670943,-0.012361914781693845,2354261.90603,2354261.90603,1.1514,1.12,
KNC/USD,True,False,0.0001,0.1,0.1,1.1256,1.1257,1.1268,1.1257,spot,,KNC,False,USD,,False,True,480.0,-0.014186881513267361,0.0034765555357461225,-0.012110574813514699,384791.82212,384791.82212,1.1497,1.1193,
KNC/USDT,True,False,0.0001,0.1,0.1,1.1283,1.1246,1.128,1.128,spot,,KNC,False,USDT,,False,True,336.0,-0.011393514460999123,0.006513786026590524,-0.009657594381035996,33806.47648,33807.60324986108,1.1486,1.1201,
KSHIB-PERP,True,False,1e-05,1.0,1.0,0.01098,0.01097,0.01098,0.01098,future,perpetual,,False,,KSHIB,False,False,350.0,-0.010810810810810811,0.0009115770282588879,-0.011701170117011701,2675176.7811,2675176.7811,0.01155,0.01092,
KSHIB/USD,True,False,1e-06,10.0,10.0,0.010962,0.010969,0.01099,0.010969,spot,,KSHIB,False,USD,,False,True,280.0,-0.010999909836804616,0.000729860414195785,-0.011534649004235379,12400.37942,12400.37942,0.011552,0.010924,
KSM-PERP,True,False,0.01,0.01,0.01,42.9,42.9,42.91,42.9,future,perpetual,,False,,KSM,False,False,350.0,-0.00786308973172988,0.00468384074941452,-0.03247631935047361,2749765.5427,2749765.5427,44.81,42.27,
KSOS-PERP,True,False,5e-07,100.0,100.0,0.000234,0.0002335,0.000234,0.000234,future,perpetual,,False,,KSOS,False,False,350.0,-0.006369426751592357,0.012987012987012988,-0.0021321961620469083,67116.5282,67116.5282,0.0002405,0.000231,
KSOS/USD,True,False,5e-07,100.0,100.0,0.000234,0.000234,0.0002355,0.000234,spot,,KSOS,False,USD,,False,True,280.0,-0.00847457627118644,0.01079913606911447,-0.00425531914893617,2185.00085,2185.00085,0.0002405,0.000231,
LDO-PERP,True,False,0.0001,1.0,1.0,1.5677,1.5666,1.5675,1.5675,future,perpetual,,False,,LDO,False,False,350.0,-0.029772220846744243,-0.006402129817444219,-0.03662958638067728,8789201.8419,8789201.8419,1.6599,1.5585,
LDO/USD,True,False,0.0001,1.0,1.0,1.5683,1.5667,1.569,1.5683,spot,,LDO,False,USD,,False,True,280.0,-0.02957737763752243,-0.0075306923174281734,-0.0361379140802655,1270363.5774,1270363.5774,1.6679,1.5614,
LEO-PERP,True,False,0.0001,1.0,1.0,4.1469,4.1482,4.1483,4.1482,future,perpetual,,False,,LEO,False,False,350.0,0.00012054873785471466,-0.0032917657800523798,0.0037262872628726286,131202.1208,131202.1208,4.2496,4.0988,
LEO/USD,True,False,0.0001,1.0,1.0,4.1444,4.1513,4.1579,4.1513,spot,,LEO,False,USD,,False,True,280.0,-0.0014432444134414163,-0.0036481459258370335,0.009729282708632306,16124.1085,16124.1085,4.232,4.1065,
LINA-PERP,True,False,5e-06,10.0,10.0,0.00707,0.007065,0.00707,0.00707,future,perpetual,,False,,LINA,False,False,350.0,-0.007022471910112359,0.010721944245889922,-0.03874915023793338,1448775.0447,1448775.0447,0.00745,0.006965,
LINA/USD,True,False,5e-06,10.0,10.0,0.007075,0.00707,0.00709,0.007075,spot,,LINA,False,USD,,False,True,280.0,-0.007017543859649123,0.01143674052894925,-0.03872282608695652,130050.9886,130050.9886,0.007445,0.00696,
LINK-PERP,True,False,0.0005,0.1,0.1,7.6635,7.663,7.666,7.6635,future,perpetual,,False,,LINK,False,False,2500.0,-0.013262087169252559,-0.06314180929095355,-0.013579611275582442,127625850.90785,127625850.90785,8.544,7.5775,
